Date,TotalBTC
2020-08-11,21454
2020-09-11,38250
2020-12-05,40824
2020-12-21,70470
2021-01-21,70784
2021-02-02,71079
2021-03-01,71407
2021-03-03,90859
2021-03-05,91064
2021-03-12,91326
2021-04-04,91579
2021-05-01,91850
2021-05-29,92079
2021-06-21,105084
2021-08-23,108991
2021-09-13,114041
2021-11-29,121043
2021-12-12,122477
2021-12-29,124391
2021-12-30,125051
2022-02-22,129218
2022-06-02,129698
2022-09-01,129999
2022-12-21,132394
2022-12-22,131690
2022-12-24,132500
2023-03-27,138955
2023-04-04,140000
2023-06-27,152333
2023-08-02,152800
2023-09-24,158245
2023-11-01,158400
2023-11-30,174530
2023-12-27,189150
2024-02-06,190000
2024-02-26,193000
